workflow_id,workflow_name,pv_panel,building,direction,tilt_bin_deg,panel_area_m2,panel_count_approx,share_of_panel_area,missing_status
WF0,workflow0_normal_flat_roofs,PV_PV1,B1000,S,30+,933.4,518.555556,1.0,ok
WF0,workflow0_normal_flat_roofs,PV_PV2,B1000,S,30+,933.4,518.555556,1.0,ok
WF0,workflow0_normal_flat_roofs,PV_PV3,B1000,S,30+,933.4,518.555556,1.0,ok
WF0,workflow0_normal_flat_roofs,PV_PV4,B1000,S,30+,933.4,518.555556,1.0,ok
WF1,workflow1_geometry_generator,PV_PV1,B1000,E,5-15,1386.015006,770.008336,0.499438,ok
WF1,workflow1_geometry_generator,PV_PV1,B1000,W,5-15,1389.134994,771.741664,0.500562,ok
WF1,workflow1_geometry_generator,PV_PV2,B1000,E,5-15,1386.015006,770.008336,0.499438,ok
WF1,workflow1_geometry_generator,PV_PV2,B1000,W,5-15,1389.134994,771.741664,0.500562,ok
WF1,workflow1_geometry_generator,PV_PV3,B1000,E,5-15,1386.015006,770.008336,0.499438,ok
WF1,workflow1_geometry_generator,PV_PV3,B1000,W,5-15,1389.134994,771.741664,0.500562,ok
WF1,workflow1_geometry_generator,PV_PV4,B1000,E,5-15,1386.015006,770.008336,0.499438,ok
WF1,workflow1_geometry_generator,PV_PV4,B1000,W,5-15,1389.134994,771.741664,0.500562,ok
WF2,workflow2_remap_roof_metadata,PV_PV1,B1000,E,5-15,1386.0,770.0,0.499432,ok
WF2,workflow2_remap_roof_metadata,PV_PV1,B1000,W,5-15,1389.15,771.75,0.500568,ok
WF2,workflow2_remap_roof_metadata,PV_PV2,B1000,E,5-15,1386.0,770.0,0.499432,ok
WF2,workflow2_remap_roof_metadata,PV_PV2,B1000,W,5-15,1389.15,771.75,0.500568,ok
WF2,workflow2_remap_roof_metadata,PV_PV3,B1000,E,5-15,1386.0,770.0,0.499432,ok
WF2,workflow2_remap_roof_metadata,PV_PV3,B1000,W,5-15,1389.15,771.75,0.500568,ok
WF2,workflow2_remap_roof_metadata,PV_PV4,B1000,E,5-15,1386.0,770.0,0.499432,ok
WF2,workflow2_remap_roof_metadata,PV_PV4,B1000,W,5-15,1389.15,771.75,0.500568,ok
