,name,floors_bg,floors_ag,void_deck,height_bg,height_ag,year,const_type,use_type1,use_type1r,use_type2,use_type2r,use_type3,use_type3r,geometry
0,B1000,1,7,0,3,21,1943,STANDARD2,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463204.01058343996 5224791.9426788315, 463195.2863776524 5224792.830419637, 463113.0960712431 5224801.254745814, 463114.7897116078 5224817.669770055, 463205.70404269395 5224808.368840466, 463204.01058343996 5224791.9426788315))"
1,B1001,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463125.6725639559 5224910.287574418, 463147.5054625211 5224908.084515097, 463143.9051222861 5224872.644128486, 463122.0645164749 5224874.847247488, 463125.6725639559 5224910.287574418))"
2,B1002,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463128.38666332635 5224953.0683068475, 463149.0840414724 5224951.07236582, 463145.7070066667 5224916.197368402, 463125.00192994485 5224918.193367697, 463128.38666332635 5224953.0683068475))"
3,B1003,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463121.08792742854 5224866.484954833, 463142.596399295 5224864.483941564, 463139.59190056496 5224832.251616587, 463118.08324304275 5224834.241527104, 463121.08792742854 5224866.484954833))"
4,B1004,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463194.41187124443 5224894.712215606, 463215.0180603556 5224892.639281239, 463211.4662757127 5224857.631979048, 463190.8599656276 5224859.704925024, 463194.41187124443 5224894.712215606))"
5,B1005,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463197.021723274 5224954.930517688, 463219.24286070454 5224953.0364819765, 463214.6770524393 5224899.954005092, 463192.45571671077 5224901.848056741, 463197.021723274 5224954.930517688))"
6,B1006,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463150.5094010643 5224836.773468682, 463152.23240409774 5224855.488790438, 463210.58619738324 5224850.147030506, 463208.86337777437 5224831.431692895, 463150.5094010643 5224836.773468682))"
7,B1007,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463126.8753579862 5224961.046017579, 463129.59463414265 5224993.713541426, 463163.16141107667 5224990.9373538215, 463161.1307614873 5224966.611681803, 463148.5735006299 5224967.656712487, 463147.87739429227 5224959.303781938, 463126.8753579862 5224961.046017579))"
8,B1008,1,5,0,3,15,2001,STANDARD5,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463169.825019012 5224965.824094199, 463172.3691636024 5224989.868739247, 463222.2580945906 5224984.6353183715, 463219.71408196515 5224960.5795401875, 463169.825019012 5224965.824094199))"
9,B1009,1,2,0,3,6,2000,STANDARD2,INDUSTRIAL,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463160.0227758892 5225011.394400867, 463163.8269192485 5225055.257480312, 463185.07054948836 5225053.424962021, 463181.2665627646 5225009.561869878, 463160.0227758892 5225011.394400867))"
10,B1010,0,1,0,0,4,2000,STANDARD4,RESTAURANT,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463231.9253828766 5225034.363213069, 463229.0225861762 5225003.774989443, 463184.4317117985 5225007.975195112, 463186.6536653136 5225031.399501532, 463197.4151173424 5225030.387942381, 463198.09617657785 5225037.551840282, 463231.9253828766 5225034.363213069))"
11,B1011,1,5,0,3,15,1968,STANDARD2,OFFICE,0.5,SERVERROOM,0.5,NONE,0.0,"POLYGON ((463133.2796979529 5225007.471184734, 463135.29574476584 5225030.6522622295, 463157.6224550109 5225028.723993791, 463155.6140725167 5225005.542862057, 463133.2796979529 5225007.471184734))"
12,B1012,1,2,0,3,6,1931,STANDARD2,OFFICE,0.6,LAB,0.2,INDUSTRIAL,0.2,"POLYGON ((463231.5236950626 5224907.484227266, 463265.0939594056 5224903.964006095, 463256.7512980457 5224821.0210692985, 463223.2697714009 5224824.262946149, 463231.5236950626 5224907.484227266))"
13,B1013,1,5,0,3,15,1931,STANDARD2,OFFICE,1.0,NONE,0.0,NONE,0.0,"POLYGON ((463252.1514026415 5224801.467850836, 463223.02390548534 5224804.204824059, 463224.64567594626 5224821.298238952, 463253.7730205292 5224818.550160243, 463252.1514026415 5224801.467850836))"
14,B1014,1,5,4,3,15,2010,STANDARD5,RESTAURANT,0.2,PARKING,0.8,NONE,0.0,"POLYGON ((463275.5779956817 5225014.532656208, 463267.1791711917 5224928.600542737, 463235.8717935694 5224931.639936503, 463244.26356121653 5225017.58316835, 463275.5779956817 5225014.532656208))"
